budget,genres,status,tagline,title,vote_average,vote_count
237000000,"Action, Adventure, Fantasy, Science Fiction",Released,Enter the World of Pandora.,Avatar,7.2,11800
300000000,"Adventure, Fantasy, Action",Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
245000000,"Action, Adventure, Crime",Released,A Plan No One Escapes,Spectre,6.3,4466
250000000,"Action, Crime, Drama, Thriller",Released,The Legend Ends,The Dark Knight Rises,7.6,9106
260000000,"Action, Adventure, Science Fiction",Released,"Lost in our world, found in another.",John Carter,6.1,2124
258000000,"Fantasy, Action, Adventure",Released,The battle within.,Spider-Man 3,5.9,3576
260000000,"Animation, Family",Released,They're taking adventure to new lengths.,Tangled,7.4,3330
280000000,"Action, Adventure, Science Fiction",Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
250000000,"Adventure, Fantasy, Family",Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,"Action, Adventure, Fantasy",Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
270000000,"Adventure, Fantasy, Action, Science Fiction",Released,null,Superman Returns,5.4,1400
200000000,"Adventure, Action, Thriller, Crime",Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
200000000,"Adventure, Fantasy, Action",Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246
255000000,"Action, Adventure, Western",Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000,"Action, Adventure, Fantasy, Science Fiction",Released,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000,"Adventure, Family, Fantasy",Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,"Science Fiction, Action, Adventure",Released,Some assembly required.,The Avengers,7.4,11776
380000000,"Adventure, Action, Fantasy",Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,"Action, Comedy, Science Fiction",Released,They are back... in time.,Men in Black 3,6.2,4160
250000000,"Action, Adventure, Fantasy",Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,"Action, Adventure, Fantasy",Released,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000,"Action, Adventure",Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
250000000,"Adventure, Fantasy",Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,"Adventure, Fantasy",Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000,"Adventure, Drama, Action",Released,The eighth wonder of the world.,King Kong,6.6,2337
200000000,"Drama, Romance, Thriller",Released,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000,"Adventure, Action, Science Fiction",Released,Divided We Fall,Captain America: Civil War,7.1,7241
209000000,"Thriller, Action, Adventure, Science Fiction",Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114
150000000,"Action, Adventure, Science Fiction, Thriller",Released,The park is open.,Jurassic World,6.5,8662
200000000,"Action, Adventure, Thriller",Released,Think on your sins.,Skyfall,6.9,7604
200000000,"Action, Adventure, Fantasy",Released,There's a hero in all of us.,Spider-Man 2,6.7,4321
200000000,"Action, Adventure, Science Fiction",Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806
200000000,"Family, Fantasy, Adventure",Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645
210000000,"Adventure, Action, Science Fiction, Thriller",Released,Take a Stand,X-Men: The Last Stand,6.3,3525
200000000,"Animation, Family",Released,School never looked this scary.,Monsters University,7.0,3528
150000000,"Science Fiction, Action, Adventure",Released,Revenge is coming.,Transformers: Revenge of the Fallen,6.0,3138
210000000,"Science Fiction, Action, Adventure",Released,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
200000000,"Fantasy, Adventure, Family",Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
200000000,"Action, Adventure, Fantasy",Released,No more secrets.,The Amazing Spider-Man 2,6.5,4179
170000000,"Adventure, Action, Science Fiction",Released,The Game Has Changed.,TRON: Legacy,6.3,2841
200000000,"Animation, Family, Adventure, Comedy",Released,Ka-ciao!,Cars 2,5.8,2033
200000000,"Adventure, Action, Thriller, Science Fiction",Released,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
200000000,"Animation, Family, Comedy",Released,No toy gets left behind.,Toy Story 3,7.6,4597
200000000,"Action, Science Fiction, Thriller",Released,The End Begins.,Terminator Salvation,5.9,2463
190000000,"Action",Released,Vengeance Hits Home,Furious 7,7.3,4176
200000000,"Action, Drama, Horror, Science Fiction, Thriller",Released,Remember Philly!,World War Z,6.7,5560
250000000,"Action, Adventure, Fantasy, Science Fiction",Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
190000000,"Action, Adventure, Science Fiction",Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418
195000000,"Action, Family, Fantasy",Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
105000000,"Drama, Romance",Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
150000000,"Adventure, Fantasy, Action, Romance",Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
180000000,"Action, Science Fiction, Adventure",Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
195000000,"Action, Science Fiction, Adventure",Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
185000000,"Adventure, Action",Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,"Adventure, Animation, Family",Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
185000000,"Animation, Adventure, Comedy, Family, Action, Fantasy",Released,Change your fate.,Brave,6.7,4641
185000000,"Action, Adventure, Science Fiction",Released,null,Star Trek Beyond,6.6,2568
180000000,"Animation, Family",Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
140000000,"Action, Comedy, Crime, Thriller",Released,The Rush Is On!,Rush Hour 3,6.1,783
200000000,"Action, Adventure, Science Fiction",Released,We Were Warned.,2012,5.6,4903
200000000,"Animation, Drama",Released,Season's Greedings,A Christmas Carol,6.6,1095
176000003,"Science Fiction, Fantasy, Action, Adventure",Released,Expand your universe.,Jupiter Ascending,5.2,2768
180000000,"Action, Adventure",Released,Human. Nature.,The Legend of Tarzan,5.5,2430
180000000,"Adventure, Family, Fantasy",Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,"Science Fiction",Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721
185000000,"Drama, Action, Crime, Thriller",Released,Why So Serious?,The Dark Knight,8.2,12002
175000000,"Animation, Comedy, Family, Adventure",Released,null,Up,7.7,6870
175000000,"Animation, Family, Adventure, Science Fiction",Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6.0,1423
140000000,"Action, Science Fiction, Adventure",Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
170000000,"Adventure, Drama, Family",Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7.0,2141
170000000,"Action, Adventure, Comedy, Science Fiction, Western",Released,It's a whole new west.,Wild Wild West,5.1,1020
145000000,"Adventure, Action, Fantasy",Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,"Action, Adventure, Crime, Fantasy, Science Fiction",Released,Worst Heroes Ever,Suicide Squad,5.9,7458
175000000,"Fantasy, Comedy, Family",Released,A comedy of biblical proportions,Evan Almighty,5.3,1151
178000000,"Action, Science Fiction",Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
175000000,"Adventure, Action",Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
175000000,"Adventure, Action, Thriller, Science Fiction",Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
175000000,"Drama, Comedy, Animation, Family",Released,Meet the little voices inside your head.,Inside Out,8.0,6560
175000000,"Family, Adventure, Drama, Fantasy",Released,null,The Jungle Book,6.7,2892
200000000,"Adventure, Action, Science Fiction",Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
170000000,"Adventure, Fantasy, Drama",Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
180000000,"Fantasy, Adventure, Action, Family, Romance",Released,Don't believe the fairy tale.,Maleficent,7.0,4496
170000000,"Science Fiction, Action, Drama, Thriller",Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
27000000,"Action, Adventure, Science Fiction, Romance",Released,Love is longer than life.,The Lovers,4.8,34
175000000,"Drama, Action, Adventure, Fantasy",Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
170000000,"Action, Adventure, Science Fiction",Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
165000000,"Comedy, Adventure, Fantasy, Animation, Family",Released,It ain't Ogre... Til it's Ogre,Shrek Forever After,6.0,1959
190000000,"Adventure, Family, Mystery, Science Fiction",Released,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
165000000,"Adventure, Family, Animation, Action, Comedy",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
165000000,"Family, Animation, Comedy, Adventure",Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
165000000,"Adventure, Animation, Family, Fantasy",Released,This holiday season... believe.,The Polar Express,6.4,1474
165000000,"Action, Adventure, Science Fiction",Released,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
165000000,"Fantasy, Adventure, Animation, Family",Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
200000000,"Action, Thriller, Science Fiction",Released,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143
170000000,"Action, Science Fiction, Adventure",Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
165000000,"Adventure, Drama, Science Fiction",Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
160000000,"Action, Thriller, Science Fiction, Mystery, Adventure",Released,Your mind is the scene of the crime.,Inception,8.1,13752
15000000,"Action, Adventure, Drama, Horror, Science Fiction",Released,A god incarnate. A city doomed.,Shin Godzilla,6.5,143
250000000,"Adventure, Fantasy, Action",Released,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7.0,8297
38000000,"Action, Crime, Thriller",Released,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428
150000000,"Fantasy, Drama, Thriller, Mystery, Romance",Released,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292
160000000,"Action, Science Fiction, Adventure",Released,Witness the moment that will change our world.,X-Men: First Class,7.1,5181
160000000,"Action, Adventure, Science Fiction",Released,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
150000000,"Fantasy, Adventure, Action, Comedy, Drama",Released,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470
160000000,"Adventure, Action, Drama, Thriller",Released,Mayday,Poseidon,5.5,583
170000000,"Fantasy",Released,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725
160000000,"Fantasy, Adventure, Animation, Comedy, Family",Released,Who's ready for Thirds?,Shrek the Third,6.0,2278
160000000,"Action, Adventure, Fantasy",Released,Two worlds. One home.,Warcraft,6.3,2268
155000000,"Science Fiction, Action, Thriller, Adventure",Released,Reset the future,Terminator Genisys,5.8,3631
155000000,"Adventure, Family, Fantasy",Released,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
140000000,"History, Romance, War",Released,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791
150000000,"Adventure, Science Fiction, Action",Released,Their war. Our world.,Transformers,6.6,4040
155000000,"War, History, Action, Adventure, Drama, Romance",Released,The greatest legend of all was real.,Alexander,5.6,927
150000000,"Adventure, Fantasy, Family, Mystery",Released,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
150000000,"Adventure, Fantasy, Family",Released,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
150000000,"Fantasy, Action",Released,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961
150000000,"Drama, Horror, Action, Thriller, Science Fiction",Released,The last man on Earth is not alone,I Am Legend,6.9,4853
150000000,"Adventure, Comedy, Family, Fantasy",Released,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
150000000,"Animation, Comedy, Family, Fantasy",Released,He's dying to become a chef.,Ratatouille,7.5,4369
150000000,"Action, Crime, Drama",Released,Evil fears the knight.,Batman Begins,7.5,7359
150000000,"Family, Animation",Released,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810
150000000,"Adventure, Fantasy, Action, Comedy, Family",Released,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971
150000000,"Adventure, Action, Thriller, Science Fiction",Released,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
150000000,"Adventure, Action, Thriller, Science Fiction",Released,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096
150000000,"Animation, Adventure, Family",Released,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295
150000000,"Adventure, Action, Thriller, Science Fiction",Released,Free your mind.,The Matrix Reloaded,6.7,3443
170000000,"Action, Adventure, Fantasy",Released,Delve into the darkness,Thor: The Dark World,6.8,4755
150000000,"Action, Adventure, Science Fiction, Thriller",Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427
150000000,"Thriller, Mystery",Released,null,Angels & Demons,6.5,2129
150000000,"Adventure, Fantasy, Action",Released,Two worlds. One hero.,Thor,6.6,6525
150000000,"Animation, Family, Adventure, Comedy",Released,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
150000000,"Fantasy, Action, Adventure, Family, Comedy",Released,The world needs bigger heroes,G-Force,5.1,510
150000000,"Adventure",Released,Feel the Wrath,Wrath of the Titans,5.5,1431
150000000,"Comedy, Fantasy",Released,Every Family Has Its Demons,Dark Shadows,5.7,2320
150000000,"Action, Adventure, Thriller",Released,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224
150000000,"Drama, Horror, Thriller",Released,When the moon is full the legend comes to life,The Wolfman,5.5,549
150000000,"Family, Animation, Adventure, Comedy",Released,Born to bee wild.,Bee Movie,5.7,1171
150000000,"Animation, Family",Released,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880
150000000,"Action, Adventure, Family, Fantasy",Released,"Four nations, one destiny",The Last Airbender,4.7,1151
150000000,"Adventure, Action, Thriller",Released,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028
150000000,"Action, Drama, Thriller",Released,It will start like any other day.,White House Down,6.4,1891
150000000,"Adventure, Animation, Family",Released,Mom needs a little space.,Mars Needs Moms,5.5,199
149000000,"Adventure, Animation, Comedy, Family",Released,Someone's Going Down,Flushed Away,6.0,874
150000000,"Adventure, Family, Fantasy",Released,Every legend has a beginning.,Pan,5.9,954
145000000,"Animation, Adventure, Family",Released,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843
175000000,"Adventure, Drama, War",Released,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759
145000000,"Animation, Family",Released,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808
140000000,"Adventure, Action, Thriller",Released,He’s never been cooler.,Die Another Day,5.8,1092
144000000,"Action, Fantasy, Comedy",Released,Who You Gonna Call?,Ghostbusters,5.3,2142
140000000,"Action, Thriller, Science Fiction, Adventure",Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482
140000000,"Action, Adventure, Comedy, Science Fiction",Released,Same Planet. New Scum.,Men in Black II,6.0,3114
70000000,"Adventure, Action, Animation",Released,Evil breeds pain.,Beowulf,5.5,841
145000000,"Action, Adventure, Animation, Comedy, Family",Released,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603
145000000,"Action, Thriller, Adventure",Released,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
145000000,"Fantasy, Animation, Family",Released,You better believe.,Rise of the Guardians,7.1,1922
100000000,"Comedy",Released,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627
140000000,"Drama, Action, War, History",Released,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895
140000000,"Adventure, Drama, Action",Released,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921
150000000,"Science Fiction, Action, Adventure",Released,The future begins.,Star Trek,7.4,4518
139000000,"Fantasy, Action",Released,With great power comes great responsibility.,Spider-Man,6.8,5265
145000000,"Fantasy, Action, Adventure, Animation, Comedy, Family",Released,The training is over.,How to Train Your Dragon 2,7.6,3106
140000000,"Fantasy",Released,The battle for eternity begins,Gods of Egypt,5.3,1277
135000000,"Action",Released,Fear The Sky,Stealth,4.9,331
130000000,"Action, Mystery, Science Fiction",Released,Justice is coming to all of us.  No matter what we do.,Watchmen,7.0,2811
140000000,"Action, Adventure, Comedy, Crime, Thriller",Released,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
137000000,"Drama, Action, Science Fiction",Released,Unleash the hero within,Hulk,5.3,1533
130000000,"Adventure, Action, Science Fiction, Thriller",Released,null,G.I. Joe: Retaliation,5.4,3025
130000000,"Action, Adventure, Comedy, Drama, Mystery",Released,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434
137000000,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller",Released,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433
140000000,"Action, Adventure, Science Fiction",Released,When patriots become heroes,Captain America: The First Avenger,6.6,7047
135000000,"Adventure, Action, Thriller",Released,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6.0,862
150000000,"Adventure",Released,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790
120000000,"Adventure, Fantasy, Drama, Romance",Released,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
130000000,"Animation, Comedy, Family",Released,Every step counts.,Happy Feet Two,5.8,373
150000000,"Science Fiction, Action, Adventure",Released,You'll like him when he's angry.,The Incredible Hulk,6.1,3021
140000000,"Adventure, Family, Fantasy",Released,The world is more giant than you can imagine.,The BFG,6.0,1000
135000000,"Western, Drama, Adventure, Thriller",Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
135000000,"Animation, Family",Released,SLO NO MO,Turbo,6.1,1074
135000000,"Animation, Comedy, Family, Western, Adventure",Released,Heroes come in all different colors.,Rango,6.6,2051
132000000,"Family, Animation, Adventure, Comedy",Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
70000000,"Action, Drama, Mystery, Thriller",Released,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888
130000000,"Adventure, Animation, Family, Comedy",Released,Prepare for awesomeness.,Kung Fu Panda,6.9,3145
130000000,"Science Fiction, Action, Adventure",Released,Heroes don't get any bigger.,Ant-Man,7.0,5880
130000000,"Adventure, Action, Science Fiction",Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
135000000,"Fantasy, Comedy, Animation, Science Fiction, Family",Released,Worlds Collide,Home,6.8,1519
132000000,"Adventure, Thriller, Science Fiction",Released,They're already here.,War of the Worlds,6.2,2322
130000000,"Adventure, Action, Comedy, Thriller, Crime",Released,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564
130000000,"Action, Adventure, Animation, Family, Fantasy",Released,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
110000000,"Action, Mystery, Thriller",Released,Who is Salt?,Salt,6.2,2093
125000000,"Drama, Adventure",Released,The end of the world is just the beginning.,Noah,5.6,2350
130000000,"Adventure, Animation, Mystery",Released,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061
130000000,"Adventure, Fantasy, Family",Released,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
130000000,"Drama",Released,Welcome to Australia!,Australia,6.3,694
130000000,"Science Fiction, Action, Adventure",Released,"Danger is real, fear is a choice",After Earth,5.0,2532
127500000,"Animation, Family",Released,You have never seen anything like this.,Dinosaur,6.2,542
127000000,"Adventure, Comedy, Fantasy, Family",Released,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
130000000,"Animation, Action, Comedy, Family, Science Fiction",Released,His brain is off the chain.,Megamind,6.7,1918
125000000,"Adventure, Fantasy, Family",Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
130000000,"Fantasy, Action, Comedy, Crime",Released,To protect and serve the living,R.I.P.D.,5.4,1260
